tumor_barcode,Cell Type,count,total,fraction,Genotype
Tumor_124,Malignant 2 (AT2-like),1673.0,3191,0.5242870573487934,Kras-H3K36M-Setd2KO
Tumor_124,Malignant 1,259.0,3191,0.08116577875274208,Kras-H3K36M-Setd2KO
Tumor_124,TAM 2,59.0,3191,0.018489501723597618,Kras-H3K36M-Setd2KO
Tumor_124,Malignant 3,8.0,3191,0.0025070510811657787,Kras-H3K36M-Setd2KO
Tumor_124,Tumor-associated vasculature,267.0,3191,0.08367282983390786,Kras-H3K36M-Setd2KO
Tumor_124,AT1 cell,31.0,3191,0.009714822939517392,Kras-H3K36M-Setd2KO
Tumor_124,Proliferating malignant,69.0,3191,0.02162331557505484,Kras-H3K36M-Setd2KO
Tumor_124,AT2 cell,53.0,3191,0.016609213412723284,Kras-H3K36M-Setd2KO
Tumor_124,Respiratory epithelium,6.0,3191,0.001880288310874334,Kras-H3K36M-Setd2KO
Tumor_124,T cell,116.0,3191,0.03635224067690379,Kras-H3K36M-Setd2KO
Tumor_124,TAM 1,170.0,3191,0.0532748354747728,Kras-H3K36M-Setd2KO
Tumor_124,Neutrophil,17.0,3191,0.00532748354747728,Kras-H3K36M-Setd2KO
Tumor_124,CAF,222.0,3191,0.06957066750235036,Kras-H3K36M-Setd2KO
Tumor_124,Plasma cell,49.0,3191,0.015355687872140394,Kras-H3K36M-Setd2KO
Tumor_124,Pericyte,38.0,3191,0.011908492635537449,Kras-H3K36M-Setd2KO
Tumor_124,B cell,26.0,3191,0.00814791601378878,Kras-H3K36M-Setd2KO
Tumor_124,Vascular endothelial,59.0,3191,0.018489501723597618,Kras-H3K36M-Setd2KO
Tumor_124,Lung fibroblast,36.0,3191,0.011281729865246004,Kras-H3K36M-Setd2KO
Tumor_124,Airway smooth muscle,0.0,3191,0.0,Kras-H3K36M-Setd2KO
Tumor_124,Lymphatic endothelial,14.0,3191,0.004387339392040113,Kras-H3K36M-Setd2KO
Tumor_124,Mesothelial,19.0,3191,0.005954246317768724,Kras-H3K36M-Setd2KO
Tumor_125,Malignant 2 (AT2-like),14.0,34,0.4117647058823529,Kras-H3K36M-Setd2KO
Tumor_125,Malignant 1,0.0,34,0.0,Kras-H3K36M-Setd2KO
Tumor_125,TAM 2,0.0,34,0.0,Kras-H3K36M-Setd2KO
Tumor_125,Malignant 3,1.0,34,0.029411764705882353,Kras-H3K36M-Setd2KO
Tumor_125,Tumor-associated vasculature,5.0,34,0.14705882352941177,Kras-H3K36M-Setd2KO
Tumor_125,AT1 cell,0.0,34,0.0,Kras-H3K36M-Setd2KO
Tumor_125,Proliferating malignant,0.0,34,0.0,Kras-H3K36M-Setd2KO
Tumor_125,AT2 cell,0.0,34,0.0,Kras-H3K36M-Setd2KO
Tumor_125,Respiratory epithelium,0.0,34,0.0,Kras-H3K36M-Setd2KO
Tumor_125,T cell,5.0,34,0.14705882352941177,Kras-H3K36M-Setd2KO
Tumor_125,TAM 1,2.0,34,0.058823529411764705,Kras-H3K36M-Setd2KO
Tumor_125,Neutrophil,0.0,34,0.0,Kras-H3K36M-Setd2KO
Tumor_125,CAF,0.0,34,0.0,Kras-H3K36M-Setd2KO
Tumor_125,Plasma cell,1.0,34,0.029411764705882353,Kras-H3K36M-Setd2KO
Tumor_125,Pericyte,1.0,34,0.029411764705882353,Kras-H3K36M-Setd2KO
Tumor_125,B cell,1.0,34,0.029411764705882353,Kras-H3K36M-Setd2KO
Tumor_125,Vascular endothelial,1.0,34,0.029411764705882353,Kras-H3K36M-Setd2KO
Tumor_125,Lung fibroblast,3.0,34,0.08823529411764706,Kras-H3K36M-Setd2KO
Tumor_125,Airway smooth muscle,0.0,34,0.0,Kras-H3K36M-Setd2KO
Tumor_125,Lymphatic endothelial,0.0,34,0.0,Kras-H3K36M-Setd2KO
Tumor_125,Mesothelial,0.0,34,0.0,Kras-H3K36M-Setd2KO
Tumor_117,Malignant 2 (AT2-like),3488.0,6411,0.5440648884729371,Kras-H3K36M-Setd2KO
Tumor_117,Malignant 1,488.0,6411,0.07611917017625955,Kras-H3K36M-Setd2KO
Tumor_117,TAM 2,93.0,6411,0.014506317267197005,Kras-H3K36M-Setd2KO
Tumor_117,Malignant 3,8.0,6411,0.0012478552487911402,Kras-H3K36M-Setd2KO
Tumor_117,Tumor-associated vasculature,290.0,6411,0.04523475276867883,Kras-H3K36M-Setd2KO
Tumor_117,AT1 cell,33.0,6411,0.005147402901263453,Kras-H3K36M-Setd2KO
Tumor_117,Proliferating malignant,24.0,6411,0.003743565746373421,Kras-H3K36M-Setd2KO
Tumor_117,AT2 cell,62.0,6411,0.009670878178131337,Kras-H3K36M-Setd2KO
Tumor_117,Respiratory epithelium,73.0,6411,0.011386679145219155,Kras-H3K36M-Setd2KO
Tumor_117,T cell,429.0,6411,0.0669162377164249,Kras-H3K36M-Setd2KO
Tumor_117,TAM 1,487.0,6411,0.07596318827016066,Kras-H3K36M-Setd2KO
Tumor_117,Neutrophil,33.0,6411,0.005147402901263453,Kras-H3K36M-Setd2KO
Tumor_117,CAF,281.0,6411,0.0438309156137888,Kras-H3K36M-Setd2KO
Tumor_117,Plasma cell,58.0,6411,0.009046950553735767,Kras-H3K36M-Setd2KO
Tumor_117,Pericyte,38.0,6411,0.005927312431757916,Kras-H3K36M-Setd2KO
Tumor_117,B cell,150.0,6411,0.02339728591483388,Kras-H3K36M-Setd2KO
Tumor_117,Vascular endothelial,91.0,6411,0.01419435345499922,Kras-H3K36M-Setd2KO
Tumor_117,Lung fibroblast,239.0,6411,0.03727967555763531,Kras-H3K36M-Setd2KO
Tumor_117,Airway smooth muscle,5.0,6411,0.0007799095304944627,Kras-H3K36M-Setd2KO
Tumor_117,Lymphatic endothelial,41.0,6411,0.006395258150054594,Kras-H3K36M-Setd2KO
Tumor_117,Mesothelial,0.0,6411,0.0,Kras-H3K36M-Setd2KO
Tumor_126,Malignant 2 (AT2-like),522.0,1209,0.4317617866004963,Kras-H3K36M-Setd2KO
Tumor_126,Malignant 1,26.0,1209,0.021505376344086023,Kras-H3K36M-Setd2KO
Tumor_126,TAM 2,7.0,1209,0.005789909015715467,Kras-H3K36M-Setd2KO
Tumor_126,Malignant 3,0.0,1209,0.0,Kras-H3K36M-Setd2KO
Tumor_126,Tumor-associated vasculature,101.0,1209,0.08354011579818031,Kras-H3K36M-Setd2KO
Tumor_126,AT1 cell,10.0,1209,0.008271298593879239,Kras-H3K36M-Setd2KO
Tumor_126,Proliferating malignant,1.0,1209,0.0008271298593879239,Kras-H3K36M-Setd2KO
Tumor_126,AT2 cell,56.0,1209,0.04631927212572374,Kras-H3K36M-Setd2KO
Tumor_126,Respiratory epithelium,5.0,1209,0.0041356492969396195,Kras-H3K36M-Setd2KO
Tumor_126,T cell,107.0,1209,0.08850289495450786,Kras-H3K36M-Setd2KO
Tumor_126,TAM 1,144.0,1209,0.11910669975186104,Kras-H3K36M-Setd2KO
Tumor_126,Neutrophil,6.0,1209,0.004962779156327543,Kras-H3K36M-Setd2KO
Tumor_126,CAF,84.0,1209,0.06947890818858561,Kras-H3K36M-Setd2KO
Tumor_126,Plasma cell,27.0,1209,0.022332506203473945,Kras-H3K36M-Setd2KO
Tumor_126,Pericyte,12.0,1209,0.009925558312655087,Kras-H3K36M-Setd2KO
Tumor_126,B cell,20.0,1209,0.016542597187758478,Kras-H3K36M-Setd2KO
Tumor_126,Vascular endothelial,19.0,1209,0.015715467328370553,Kras-H3K36M-Setd2KO
Tumor_126,Lung fibroblast,57.0,1209,0.04714640198511166,Kras-H3K36M-Setd2KO
Tumor_126,Airway smooth muscle,1.0,1209,0.0008271298593879239,Kras-H3K36M-Setd2KO
Tumor_126,Lymphatic endothelial,4.0,1209,0.0033085194375516956,Kras-H3K36M-Setd2KO
Tumor_126,Mesothelial,0.0,1209,0.0,Kras-H3K36M-Setd2KO
Tumor_129,Malignant 2 (AT2-like),210.0,601,0.34941763727121466,Kras-H3K36M-Setd2KO
Tumor_129,Malignant 1,23.0,601,0.03826955074875208,Kras-H3K36M-Setd2KO
Tumor_129,TAM 2,8.0,601,0.013311148086522463,Kras-H3K36M-Setd2KO
Tumor_129,Malignant 3,2.0,601,0.0033277870216306157,Kras-H3K36M-Setd2KO
Tumor_129,Tumor-associated vasculature,66.0,601,0.10981697171381032,Kras-H3K36M-Setd2KO
Tumor_129,AT1 cell,8.0,601,0.013311148086522463,Kras-H3K36M-Setd2KO
Tumor_129,Proliferating malignant,14.0,601,0.02329450915141431,Kras-H3K36M-Setd2KO
Tumor_129,AT2 cell,61.0,601,0.10149750415973377,Kras-H3K36M-Setd2KO
Tumor_129,Respiratory epithelium,1.0,601,0.0016638935108153079,Kras-H3K36M-Setd2KO
Tumor_129,T cell,37.0,601,0.06156405990016639,Kras-H3K36M-Setd2KO
Tumor_129,TAM 1,63.0,601,0.1048252911813644,Kras-H3K36M-Setd2KO
Tumor_129,Neutrophil,5.0,601,0.008319467554076539,Kras-H3K36M-Setd2KO
Tumor_129,CAF,50.0,601,0.08319467554076539,Kras-H3K36M-Setd2KO
Tumor_129,Plasma cell,2.0,601,0.0033277870216306157,Kras-H3K36M-Setd2KO
Tumor_129,Pericyte,3.0,601,0.004991680532445923,Kras-H3K36M-Setd2KO
Tumor_129,B cell,15.0,601,0.024958402662229616,Kras-H3K36M-Setd2KO
Tumor_129,Vascular endothelial,6.0,601,0.009983361064891847,Kras-H3K36M-Setd2KO
Tumor_129,Lung fibroblast,18.0,601,0.029950083194675542,Kras-H3K36M-Setd2KO
Tumor_129,Airway smooth muscle,1.0,601,0.0016638935108153079,Kras-H3K36M-Setd2KO
Tumor_129,Lymphatic endothelial,8.0,601,0.013311148086522463,Kras-H3K36M-Setd2KO
Tumor_129,Mesothelial,0.0,601,0.0,Kras-H3K36M-Setd2KO
Tumor_118,Malignant 2 (AT2-like),832.0,2043,0.40724424865394027,Kras-H3K36M-Setd2KO
Tumor_118,Malignant 1,343.0,2043,0.1678903573176701,Kras-H3K36M-Setd2KO
Tumor_118,TAM 2,35.0,2043,0.017131669114047968,Kras-H3K36M-Setd2KO
Tumor_118,Malignant 3,7.0,2043,0.0034263338228095936,Kras-H3K36M-Setd2KO
Tumor_118,Tumor-associated vasculature,164.0,2043,0.08027410670582477,Kras-H3K36M-Setd2KO
Tumor_118,AT1 cell,12.0,2043,0.005873715124816446,Kras-H3K36M-Setd2KO
Tumor_118,Proliferating malignant,17.0,2043,0.008321096426823299,Kras-H3K36M-Setd2KO
Tumor_118,AT2 cell,95.0,2043,0.0465002447381302,Kras-H3K36M-Setd2KO
Tumor_118,Respiratory epithelium,5.0,2043,0.0024473813020068525,Kras-H3K36M-Setd2KO
Tumor_118,T cell,46.0,2043,0.022515907978463045,Kras-H3K36M-Setd2KO
Tumor_118,TAM 1,141.0,2043,0.06901615271659324,Kras-H3K36M-Setd2KO
Tumor_118,Neutrophil,18.0,2043,0.00881057268722467,Kras-H3K36M-Setd2KO
Tumor_118,CAF,138.0,2043,0.06754772393538913,Kras-H3K36M-Setd2KO
Tumor_118,Plasma cell,65.0,2043,0.03181595692608909,Kras-H3K36M-Setd2KO
Tumor_118,Pericyte,23.0,2043,0.011257953989231522,Kras-H3K36M-Setd2KO
Tumor_118,B cell,18.0,2043,0.00881057268722467,Kras-H3K36M-Setd2KO
Tumor_118,Vascular endothelial,46.0,2043,0.022515907978463045,Kras-H3K36M-Setd2KO
Tumor_118,Lung fibroblast,26.0,2043,0.012726382770435633,Kras-H3K36M-Setd2KO
Tumor_118,Airway smooth muscle,2.0,2043,0.0009789525208027412,Kras-H3K36M-Setd2KO
Tumor_118,Lymphatic endothelial,10.0,2043,0.004894762604013705,Kras-H3K36M-Setd2KO
Tumor_118,Mesothelial,0.0,2043,0.0,Kras-H3K36M-Setd2KO
Tumor_130,Malignant 2 (AT2-like),10.0,32,0.3125,Kras-H3K36M-Setd2KO
Tumor_130,Malignant 1,0.0,32,0.0,Kras-H3K36M-Setd2KO
Tumor_130,TAM 2,2.0,32,0.0625,Kras-H3K36M-Setd2KO
Tumor_130,Malignant 3,0.0,32,0.0,Kras-H3K36M-Setd2KO
Tumor_130,Tumor-associated vasculature,3.0,32,0.09375,Kras-H3K36M-Setd2KO
Tumor_130,AT1 cell,4.0,32,0.125,Kras-H3K36M-Setd2KO
Tumor_130,Proliferating malignant,0.0,32,0.0,Kras-H3K36M-Setd2KO
Tumor_130,AT2 cell,4.0,32,0.125,Kras-H3K36M-Setd2KO
Tumor_130,Respiratory epithelium,0.0,32,0.0,Kras-H3K36M-Setd2KO
Tumor_130,T cell,2.0,32,0.0625,Kras-H3K36M-Setd2KO
Tumor_130,TAM 1,1.0,32,0.03125,Kras-H3K36M-Setd2KO
Tumor_130,Neutrophil,0.0,32,0.0,Kras-H3K36M-Setd2KO
Tumor_130,CAF,0.0,32,0.0,Kras-H3K36M-Setd2KO
Tumor_130,Plasma cell,0.0,32,0.0,Kras-H3K36M-Setd2KO
Tumor_130,Pericyte,2.0,32,0.0625,Kras-H3K36M-Setd2KO
Tumor_130,B cell,2.0,32,0.0625,Kras-H3K36M-Setd2KO
Tumor_130,Vascular endothelial,2.0,32,0.0625,Kras-H3K36M-Setd2KO
Tumor_130,Lung fibroblast,0.0,32,0.0,Kras-H3K36M-Setd2KO
Tumor_130,Airway smooth muscle,0.0,32,0.0,Kras-H3K36M-Setd2KO
Tumor_130,Lymphatic endothelial,0.0,32,0.0,Kras-H3K36M-Setd2KO
