names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
Hdac6,-4.88264,-1.7124636,1.0467484563157308e-06,2.3413864040735245e-06,1.0,1.0
Synpo,-4.8885107,-0.052372605,1.0160172502540857e-06,2.2746790495402293e-06,1.0,1.0
Ndor1,-4.8898883,,1.0089319735812273e-06,2.2598270513412187e-06,1.0,1.0
Creld1,-4.894796,0.16082671,9.840778272090892e-07,2.2051448536296778e-06,1.0,1.0
Meis1,-4.897366,-0.023428407,9.71298365514634e-07,2.1784586101103307e-06,1.0,1.0
E2f2,-4.897686,1.0833094,9.6971910503922e-07,2.175891456668012e-06,1.0,1.0
Mapk8,-4.899675,-3.1875482,9.599534365558683e-07,2.1549447997303485e-06,1.0,1.0
Arg2,-4.901281,0.550487,9.521371942195444e-07,2.1383574671435794e-06,1.0,1.0
Rif1,-4.9100885,-1.2178633,9.103528002588527e-07,2.0463520961364243e-06,1.0,1.0
Acvr1,-4.9431353,,7.687603691227768e-07,1.7296244529566834e-06,1.0,1.0
Ccdc130,-4.946334,-1.0147991,7.562426988727134e-07,1.702226146833095e-06,1.0,1.0
Esam,-4.9528174,-0.03882545,7.314654044569865e-07,1.6471955981608973e-06,1.0,1.0
Nup155,-4.9613247,0.3360791,7.001408713331529e-07,1.578075282257435e-06,1.0,1.0
Akap9,-4.9894357,,6.05559527350575e-07,1.3667407546965637e-06,1.0,1.0
Mapk7,-4.9922247,1.2014245,5.968772699786379e-07,1.3477526447961485e-06,1.0,1.0
Sirt6,-4.999695,3.229077,5.742109558607545e-07,1.2971570600356215e-06,1.0,1.0
Atad3a,-5.0095825,,5.454817622632562e-07,1.233927565246209e-06,1.0,1.0
Spry2,-5.0264225,0.051637024,4.997138883654204e-07,1.1314191429928967e-06,1.0,1.0
Pik3r1,-5.0322437,,4.847722800550924e-07,1.0980859882152907e-06,1.0,1.0
Ift122,-5.0582514,0.5505712,4.231181264744957e-07,9.59297708845709e-07,1.0,1.0
Kdm1a,-5.0602517,,4.187038010787639e-07,9.497196321704993e-07,1.0,1.0
